"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","agent_model","disable_wandb","early_stop_max_years","entity","last_turn_year","log_level","map_name","max_message_rounds","max_years","model","no_save","output_folder","project","save","seed","summarizer_model","temperature","top_p","messages/num_avg","messages/num_total","meta/year_fractional","model/completion_time_sec_avg","orders/num_total","orders/num_valid","orders/valid_ratio_avg_avg","orders/valid_ratio_avg_avg/phase_A","orders/valid_ratio_avg_avg/phase_M","orders/valid_ratio_avg_avg_phase_A","orders/valid_ratio_avg_avg_phase_M","orders/valid_ratio_avg_avg_phase_R","orders/valid_ratio_total_avg","score/centers/AUS","score/centers/ENG","score/centers/FRA","score/centers/GER","score/centers/ITA","score/centers/RUS","score/centers/TUR","score/units/AUS","score/units/ENG","score/units/FRA","score/units/GER","score/units/ITA","score/units/RUS","score/units/TUR","score/welfare/AUS","score/welfare/ENG","score/welfare/FRA","score/welfare/GER","score/welfare/ITA","score/welfare/RUS","score/welfare/TUR","step","tokens/completion_tokens_avg","tokens/completion_tokens_max","tokens/completion_tokens_median","tokens/completion_tokens_min","tokens/prompt_tokens_avg","tokens/prompt_tokens_max","tokens/prompt_tokens_median","tokens/prompt_tokens_min","tokens/total_tokens_avg","tokens/total_tokens_max","tokens/total_tokens_median","tokens/total_tokens_min","usage/completion_tokens","usage/elapsed_time","usage/prompt_tokens","usage/total_tokens","welfare/max","welfare/mean","welfare/median","welfare/min","welfare/total"
"fiery-sweep-53","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T17:24:31.000Z","242","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","52","","0.3","0.9","1","7","10.9","0.3","24","24","1","","","1","1","1","1","5","4","0","8","3","6","4","2","3","0","0","1","4","1","16","19","1","46","12","35","17","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","46","20.857142857142858","17","1","146"
"absurd-sweep-52","u55re93o","finished","-","gabrielmukobi","","2023-08-01T17:22:19.000Z","239","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","51","","0.3","0.9","1","7","10.9","0.3","22","22","1","","","1","1","1","1","1","4","3","2","6","7","4","0","4","0","2","3","1","1","29","15","12","9","23","34","20","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","34","20.285714285714285","20","9","142"
"autumn-sweep-51","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T17:20:39.000Z","235","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","50","","0.3","0.9","1","7","10.9","0.3","26","26","1","","","1","1","","1","4","3","4","4","4","6","3","1","2","2","3","1","1","2","17","13","14","14","18","40","16","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","40","18.857142857142858","16","13","132"
"fearless-sweep-50","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T17:20:37.000Z","228","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","49","","0.3","0.9","1","7","10.9","0.3","24","24","1","","","1","1","","1","4","3","5","4","2","6","4","0","2","2","2","2","3","2","24","11","17","17","10","32","22","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","32","19","17","10","133"
"fluent-sweep-49","f2rhp4uh","finished","-","gabrielmukobi","","2023-08-01T17:20:31.000Z","234","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","48","","0.3","0.9","1","7","10.9","0.3","28","28","1","","","1","1","","1","5","3","6","5","2","6","5","1","1","4","2","2","2","4","21","14","25","26","14","31","24","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","31","22.142857142857142","24","14","155"
"pious-sweep-48","u55re93o","finished","-","gabrielmukobi","","2023-08-01T17:18:20.000Z","233","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","47","","0.3","0.9","1","7","10.9","0.3","27","27","1","","","1","1","","1","6","4","5","5","3","7","3","2","1","3","2","3","4","2","27","26","17","18","15","35","19","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","35","22.428571428571427","19","15","157"
"efficient-sweep-47","txvj5vq9","finished","-","gabrielmukobi","","2023-08-01T17:16:44.000Z","230","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","46","","0.3","0.9","1","7","10.9","0.3","26","26","1","","","1","1","","1","4","5","6","4","2","5","6","1","1","2","1","1","2","2","19","15","21","15","12","31","19","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","31","18.857142857142858","19","12","132"
"lunar-sweep-46","592yz9ol","finished","-","gabrielmukobi","","2023-08-01T17:16:38.000Z","232","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","45","","0.3","0.9","1","7","10.9","0.3","25","25","1","","","1","1","","1","4","4","5","4","1","6","6","0","0","4","2","1","5","4","29","17","24","17","5","25","14","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","29","18.714285714285715","17","5","131"
"unique-sweep-45","f2rhp4uh","finished","-","gabrielmukobi","","2023-08-01T17:16:27.000Z","234","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","44","","0.3","0.9","1","7","10.9","0.3","29","29","1","","","1","1","","1","4","3","3","5","4","5","6","1","0","1","3","2","3","4","22","12","9","13","15","26","14","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","26","15.857142857142858","14","9","111"
"eternal-sweep-44","u55re93o","finished","-","gabrielmukobi","","2023-08-01T17:14:16.000Z","236","7m570dyn","","false","0","","","INFO","standard_welfare","1","10","random","","games","welfare-diplomacy","false","43","","0.3","0.9","1","7","10.9","0.3","31","31","1","","","1","1","","1","2","3","5","6","6","5","3","2","0","3","2","3","3","1","10","17","21","32","15","17","13","","0","0","0","0","0","0","0","0","0","0","0","0","","","","","32","17.857142857142858","17","10","125"
