agent_model,year_integer,score/welfare/AUS,score/welfare/ENG,score/welfare/FRA,score/welfare/GER,score/welfare/ITA,score/welfare/RUS,score/welfare/TUR,score/centers/AUS,score/centers/ENG,score/centers/FRA,score/centers/GER,score/centers/ITA,score/centers/RUS,score/centers/TUR,score/units/AUS,score/units/ENG,score/units/FRA,score/units/GER,score/units/ITA,score/units/RUS,score/units/TUR
random,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
random,1,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
random,2,4.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0
random,3,4.0,3.0,4.0,2.0,2.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0
random,4,6.0,5.0,4.0,5.0,2.0,8.0,6.0,5.0,3.0,2.0,4.0,2.0,5.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0
random,5,12.0,5.0,5.0,6.0,4.0,12.0,6.0,6.0,3.0,2.0,3.0,2.0,6.0,3.0,0.0,3.0,1.0,2.0,0.0,2.0,3.0
random,6,15.0,6.0,6.0,10.0,4.0,17.0,7.0,6.0,3.0,2.0,4.0,2.0,6.0,3.0,3.0,2.0,1.0,0.0,2.0,1.0,2.0
random,7,20.0,6.0,9.0,14.0,6.0,20.0,8.0,6.0,3.0,3.0,4.0,2.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,2.0
random,8,25.0,7.0,10.0,17.0,6.0,24.0,9.0,6.0,3.0,3.0,4.0,2.0,6.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0
random,9,28.0,7.0,11.0,19.0,7.0,24.0,10.0,6.0,4.0,2.0,4.0,2.0,6.0,3.0,3.0,4.0,1.0,2.0,1.0,6.0,2.0
random,10,30.0,9.0,12.0,20.0,8.0,28.0,11.0,7.0,4.0,2.0,4.0,2.0,5.0,3.0,5.0,2.0,1.0,3.0,1.0,1.0,2.0
random,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
random,1,0.0,3.0,0.0,0.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,0.0,3.0,3.0,2.0,1.0,2.0
random,2,3.0,5.0,2.0,1.0,2.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0
random,3,7.0,8.0,3.0,5.0,4.0,9.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0
random,4,9.0,9.0,3.0,10.0,6.0,11.0,6.0,3.0,3.0,3.0,5.0,3.0,6.0,3.0,1.0,2.0,3.0,0.0,1.0,4.0,1.0
random,5,10.0,11.0,4.0,13.0,6.0,17.0,6.0,3.0,3.0,3.0,5.0,2.0,7.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0
random,6,13.0,11.0,7.0,16.0,7.0,23.0,8.0,3.0,3.0,3.0,5.0,2.0,7.0,4.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0
random,7,14.0,12.0,8.0,19.0,9.0,27.0,8.0,3.0,3.0,3.0,5.0,2.0,7.0,4.0,2.0,2.0,2.0,2.0,0.0,3.0,4.0
random,8,18.0,13.0,10.0,20.0,10.0,28.0,11.0,4.0,3.0,3.0,5.0,2.0,6.0,5.0,0.0,2.0,1.0,4.0,1.0,5.0,2.0
random,9,21.0,13.0,12.0,21.0,11.0,30.0,12.0,4.0,3.0,4.0,5.0,2.0,6.0,5.0,1.0,3.0,2.0,4.0,1.0,4.0,4.0
random,10,23.0,14.0,13.0,24.0,11.0,33.0,16.0,3.0,3.0,4.0,5.0,3.0,5.0,6.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0
