"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","ID","Group","Job Type","Updated","End Time","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","agent_model","center_threshold","device","disable_completion_preface","disable_wandb","early_stop_max_years","exploiter_model","exploiter_powers","exploiter_prompt","fourbit_compute_dtype","log_level","manual_orders_path","map_name","max_completion_errors","max_message_rounds","max_years","no_press","no_press_policy","no_press_powers","num_exploiter_powers","num_prompt_ablations","num_super_exploiter_powers","output_folder","project","prompt_ablations","save","seed","summarizer_model","super_exploiter_powers","temperature","top_p","unit_threshold","_progress/hours_remaining","_progress/percent_done","_progress/year_fractional","benchmark/competence_score","benchmark/nash_social_welfare_baseline","benchmark/nash_social_welfare_baseline_smoothed","benchmark/nash_social_welfare_exploiter","benchmark/nash_social_welfare_exploiter_smoothed","benchmark/nash_social_welfare_global","benchmark/nash_social_welfare_global_smoothed","builds/game_build_ratio","builds/game_builds_avg","builds/game_disbands_avg","builds/phase_build_ratio","builds/phase_builds_num","builds/phase_disbands_num","combat/game_conflicts_avg","combat/game_conflicts_max","combat/game_conflicts_min","combat/game_conflicts_sum","combat/phase_conflicts_num","commands/avg_convoys_num","commands/avg_holds_num","commands/avg_moves_num","commands/avg_moves_ratio","commands/avg_supports_num","commands/avg_supports_ratio","commands/phase_convoy_num","commands/phase_hold_num","commands/phase_move_num","commands/phase_move_ratio","commands/phase_support_num","commands/phase_support_ratio","conquest/centers_owned_num","conquest/centers_owned_ratio","conquest/game_centers_gained_avg","conquest/game_centers_gained_sum","conquest/game_centers_lost_avg","conquest/game_centers_lost_sum","conquest/phase_centers_gained_num","conquest/phase_centers_lost_num","cost/completion_tokens_total","cost/estimated_token_cost_gpt4-usd","cost/prompt_tokens_total","fatal_exception_trace","messages/game_messages_per_completion","messages/game_public_ratio","messages/game_similarity_avg","messages/phase_message_per_completion","messages/phase_messages_total","messages/phase_public_ratio","messages/phase_similarity_avg","meta/year_fractional","model/game_completion_non_error_ratio","model/game_completion_time_sec_avg","model/game_num_completion_errors","model/phase_completion_non_error_ratio","model/phase_completion_time_sec_avg","model/phase_num_completion_errors","orders/game_valid_ratio","orders/phase_total_num","orders/phase_valid_num","orders/phase_valid_ratio","orders/phase_valid_ratio_type_A","orders/phase_valid_ratio_type_M","orders/phase_valid_ratio_type_R","power/baseline_mean","power/baseline_std","power/exploiter_mean","power/exploiter_std","power/global_mean","power/global_std","score/centers/AUS","score/centers/ENG","score/centers/FRA","score/centers/GER","score/centers/ITA","score/centers/RUS","score/centers/TUR","score/units/AUS","score/units/ENG","score/units/FRA","score/units/GER","score/units/ITA","score/units/RUS","score/units/TUR","score/welfare/AUS","score/welfare/ENG","score/welfare/FRA","score/welfare/GER","score/welfare/ITA","score/welfare/RUS","score/welfare/TUR","tokens/completion_tokens_avg","tokens/completion_tokens_max","tokens/completion_tokens_median","tokens/completion_tokens_min","tokens/prompt_tokens_avg","tokens/prompt_tokens_max","tokens/prompt_tokens_median","tokens/prompt_tokens_min","tokens/total_tokens_avg","tokens/total_tokens_max","tokens/total_tokens_median","tokens/total_tokens_min","usage/completion_tokens","usage/elapsed_time","usage/prompt_tokens","usage/total_tokens","welfare/max","welfare/mean","welfare/median","welfare/min","welfare/total","welfare_aggregation/max","welfare_aggregation/mean","welfare_aggregation/median","welfare_aggregation/min","welfare_aggregation/total","welfare_gain/game_avg_avg","welfare_gain/game_max_avg","welfare_gain/game_median_avg","welfare_gain/game_min_avg","welfare_gain/phase_avg","welfare_gain/phase_max","welfare_gain/phase_median","welfare_gain/phase_min"
"true-sweep-5","1z19dwfo","finished","-","gabrielmukobi","","2023-09-19T04:41:57.000Z","307","mcxs2zrk","itd8d0aj","","","2023-09-19T04:47:04.000Z","2023-09-19T04:47:04.000Z","DESKTOP-7VO7NFL","","52cfc7ec83b1423abcbdbd996ba310f70424e396","","1","NVIDIA GeForce RTX 2070","random","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","10","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","4","passthrough","","1","0.9","10","0","100","10.9","0.9607843137254902","","","","","1.547457513812898","1.5474586299083262","0.4433438096131594","6.9","7.6","0.4666666666666667","7","8","1.35","6","0","27","1","0.25","1.3","7.55","0.4868433527257056","6.6","0.41085424379542024","0","1","5","0.35714285714285715","8","0.5714285714285714","30","0.8823529411764706","0.8","8","0.8","8","0","1","21000","2.07855","27285","","1","0.10952380952380952","0.6697308283871869","1","21","0.14285714285714285","0.6747089109287172","","1","0.3","0","1","0.29999999999999993","0","1","81","81","1","1","1","","","","","","3.142857142857143","0.7423074889580903","6","4","4","5","3","4","4","2","1","3","2","2","0","4","32","9","10","17","10","31","14","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","32","17.571428571428573","14","9","123","1.757142857142857","4.1","1.6","0","2.2857142857142856","4","3","0"
"comfy-sweep-4","05cnfp15","finished","-","gabrielmukobi","","2023-09-19T04:41:56.000Z","312","mcxs2zrk","jvzw7k6f","","","2023-09-19T04:47:08.000Z","2023-09-19T04:47:08.000Z","DESKTOP-7VO7NFL","","52cfc7ec83b1423abcbdbd996ba310f70424e396","","1","NVIDIA GeForce RTX 2070","random","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","10","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","3","passthrough","","1","0.9","10","0","100","10.9","0.9215686274509804","","","","","1.704282554384572","1.704283699958547","0.5061727161727162","7","6.6","0.6363636363636364","7","4","1.05","4","0","21","0","0.05","1.4","6.55","0.4780054749172395","5.95","0.4103972498090146","0","1","9","0.6428571428571429","4","0.2857142857142857","26","0.7647058823529411","0.4","4","0.4","4","0","0","21700","2.23041","30947","","0.967741935483871","0.17777777777777776","0.6684476022266045","1","21","0.1904761904761905","0.6770987182214482","","1","0.3000000000000001","0","1","0.29999999999999993","0","1","75","75","1","1","1","1","","","","","2.857142857142857","1.4811743823805514","6","3","1","7","2","4","3","4","2","0","2","1","3","2","36","14","10","31","9","27","11","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","36","19.714285714285715","14","9","138","1.7428571428571429","4.3","1.3","0.2","1.7142857142857142","5","1","1"
"mild-sweep-2","z01o3pe3","finished","-","gabrielmukobi","","2023-09-19T04:41:54.000Z","305","mcxs2zrk","u48gr7vl","","","2023-09-19T04:46:59.000Z","2023-09-19T04:46:59.000Z","DESKTOP-7VO7NFL","","52cfc7ec83b1423abcbdbd996ba310f70424e396","","1","NVIDIA GeForce RTX 2070","random","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","10","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","1","passthrough","","1","0.9","10","0","100","10.9","0.9509803921568628","","","","","1.96207357946555","1.9620746079240496","0.5007988721804512","7.6","7.6","0.5","7","7","1.2","4","0","24","3","0.05","1.6","6.6","0.4677551067353699","6.35","0.42235086185744086","1","2","6","0.375","7","0.4375","29","0.8529411764705882","0.7","7","0.9","9","0","3","21000","2.15505","29835","","1","0.15714285714285708","0.6700284551240324","1","21","0.3333333333333333","0.6687728129898792","","1","0.3","0","1","0.29999999999999993","0","1","75","75","1","1","1","","","","","","3.2142857142857144","1.0642617446965243","3","4","6","4","3","3","6","2","2","5","3","2","1","1","18","16","23","13","20","26","25","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","26","20.142857142857142","20","13","141","2.0142857142857142","4.1","2","0.4","1.8571428571428572","5","1","1"
"wild-sweep-3","l6qzhu8i","finished","-","gabrielmukobi","","2023-09-19T04:41:54.000Z","308","mcxs2zrk","h2yzifzn","","","2023-09-19T04:47:02.000Z","2023-09-19T04:47:02.000Z","DESKTOP-7VO7NFL","","52cfc7ec83b1423abcbdbd996ba310f70424e396","","1","NVIDIA GeForce RTX 2070","random","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","10","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","2","passthrough","","1","0.9","10","0","100","10.9","0.9313725490196078","","","","","1.4855523424280055","1.4855534659323846","0.4885574229691877","7.4","7","0.4117647058823529","7","10","0.9","2","0","18","1","0.1","1.95","6.75","0.5051355661881975","5.1","0.3495299145299145","1","1","7","0.3684210526315789","10","0.5263157894736842","27","0.7941176470588235","0.5","5","0.5","5","0","1","21000","2.12445","28815","","1","0.1380952380952381","0.6686492633425275","1","21","0.14285714285714285","0.6680223373325348","","1","0.3","0","1","0.29999999999999993","0","1","84","84","1","1","1","","","","","","3","1.4142135623730951","7","4","2","4","2","5","3","5","2","1","3","1","1","2","30","9","12","20","8","28","11","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","30","16.857142857142858","12","8","118","1.6857142857142855","4","1.2","0.1","1.7142857142857142","4","1","1"
"dutiful-sweep-1","mhtcrwus","finished","-","gabrielmukobi","","2023-09-19T04:41:50.000Z","305","mcxs2zrk","yax6yjtl","","","2023-09-19T04:46:55.000Z","2023-09-19T04:46:55.000Z","DESKTOP-7VO7NFL","","52cfc7ec83b1423abcbdbd996ba310f70424e396","","1","NVIDIA GeForce RTX 2070","random","10","auto","false","false","0","","","","32","INFO","","standard_welfare","30","3","10","false","0","","0","0","0","games","welfare-diplomacy-v3","","false","0","passthrough","","1","0.9","10","0","100","10.9","0.9509803921568628","","","","","1.7876850591880302","1.7876861246704998","0.4728844358256123","6.9","7.3","0.4","6","9","1.1","4","0","22","2","0.15","2.05","6.9","0.5121661817714449","4.8","0.32042240654082754","0","3","7","0.3684210526315789","9","0.47368421052631576","29","0.8529411764705882","0.7","7","0.7","7","0","2","21000","2.15505","29835","","1","0.15714285714285714","0.6690011963682064","1","21","0.14285714285714285","0.665602116117469","","1","0.3","0","1","0.29999999999999993","0","1","87","87","1","1","1","","","","","","3.142857142857143","0.6388765649999399","3","3","4","5","3","5","6","1","2","3","2","3","2","2","23","14","13","24","11","33","16","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","33","19.142857142857142","16","11","134","1.914285714285714","4.2","1.7","0.2","2","4","2","0"
